Date,ABOT,ACPL,ADMM,AGIL,AGTL
07/09/2015,-0.006478921,-0.01587268,-0.008166472,-0.013409284,-0.0082
07/10/2015,-0.000499875,0.002302647,0.008233712,-0.005584349,0
13/07/2015,-0.026249336,0.029836447,-0.00139902,0.027984408,0.0327
14/07/2015,-0.005087017,-0.002796084,-0.01084081,0,-0.0333
15/07/2015,0.032620762,-0.018428088,0.024700116,-0.0272226,0.0021
16/07/2015,0.00020002,0.001100605,-0.012027089,0.027367803,0.0088
22/07/2015,-0.017052924,-0.00687625,0.017552262,-0.004888015,-0.006
23/07/2015,0.010151177,-0.008563126,-0.007968085,0.005515153,-0.0043
24/07/2015,-0.005683786,-0.010445067,-0.008067283,0.010858531,0.0046
27/07/2015,-0.022737516,-0.023323698,-0.005385446,-0.033525148,-0.0046
28/07/2015,-0.00727342,0.00120072,0.009545268,0.002503128,0.0024
29/07/2015,0.00732671,-0.01488806,-0.009455018,0.00621926,0.013
30/07/2015,0,0.012780987,-0.002696358,0.013490182,0.0063
31/07/2015,-0.00727342,-0.00119928,0.006823172,0.004811538,0.0403
08/03/2015,0,-0.012027089,0,-0.00059982,0.0481
08/04/2015,0,0.009747197,-0.00139902,-0.016856315,-0.0146
08/05/2015,0.017450512,0,0.013591536,0.002503128,0.0399
08/06/2015,0.019589403,-0.004788498,-0.001299155,0.00060018,0.0124
08/07/2015,0.024187894,-0.00119928,0.001300845,0.020813645,-0.0146
08/10/2015,-0.017151214,-0.001798381,-0.008067283,0.049695372,-0.007
08/11/2015,-0.00019998,0.023573566,0.005414606,0.01999732,-0.0057
08/12/2015,-0.025470024,-0.017151214,-0.009355958,-0.010049166,-0.0122
13/08/2015,0.004610596,-0.00727342,0,0.015214581,0.0057
17/08/2015,0.027059639,-0.005484903,0.005414606,-0.010049166,-0.009
18/08/2015,0.009040622,-0.010346107,-0.012125882,0.006722495,0.0033
19/08/2015,-0.021368391,0.010454268,0.002703648,-0.004987521,-0.0038
20/08/2015,-0.008761393,-0.00059982,-0.008166472,0.026340948,0.0019
21/08/2015,-0.03757583,-0.009752136,0,-0.024592552,0
24/08/2015,-0.048294842,-0.027708867,-0.050671133,-0.049911366,-0.0252
25/08/2015,0.050010328,0.027265071,0.007225982,-0.022444294,-0.0629
26/08/2015,0.024392752,-0.011730653,0.032930595,-0.00727342,0.0654
27/08/2015,-0.002097797,0.010656379,-0.013902456,-0.004888015,0.0125
28/08/2015,0.01887594,0.024700116,0,0.004912025,0.0091
31/08/2015,-0.007174142,0.003004505,-0.008463977,-0.010346107,-0.0055
09/01/2015,0,-0.004788498,0.011364086,-0.027611633,-0.0356
09/02/2015,0.007830499,0.004811538,0.008435379,-0.002496878,0.0071
09/03/2015,-0.002995504,0.004811538,-0.002796084,-0.003792789,-0.0302
09/04/2015,0.002703648,-0.017347764,0.00833454,-0.019703302,0.0283
09/07/2015,0.007125265,-0.010346107,-0.049816353,-0.008463977,-0.043
09/08/2015,-0.008463977,0.008032086,0,-0.005882629,-0.0301
09/09/2015,0.005816853,0.004912025,0.020405401,0,0.0134
09/10/2015,-0.002995504,0.010353228,0.007125265,0,-0.0079
09/11/2015,0,-0.068538108,0.019793341,0.010555318,-0.0034
14/09/2015,-0.028972024,0.043207394,0.012477199,-0.011038622,-0.02
15/09/2015,-0.023909528,-0.006776932,-0.017838968,-0.009851156,-0.0138
16/09/2015,0.010656379,0.00621926,0.018162976,0.004008011,0.016
17/09/2015,-0.018133572,-0.009256889,-0.00139902,0.01389566,0.009
18/09/2015,0,0.005012521,-0.015085063,-0.004589436,-0.0237
21/09/2015,0,-0.008662265,-0.026541417,0.010555318,-0.0233
22/09/2015,0,0.007528195,0.044459994,0.005816853,-0.0019
23/09/2015,0.027778832,-0.013113262,-0.012323437,0.011667541,0.01
28/09/2015,0,-0.020781035,-0.01803538,-0.049816353,-0.009
29/09/2015,-0.011928287,-0.018722515,-0.005683786,0.051796863,-0.0026
30/09/2015,-0.009950166,0.007225982,0.017043613,0.01592548,-0.0026
10/01/2015,0.00080032,-0.007174142,0,0.022039356,-0.023
10/02/2015,0.003004505,-0.003294561,-0.026541417,0,0.001
10/05/2015,0,0.005917439,0.031588658,-0.021564097,0.0489
10/06/2015,0.006118643,0.002603383,-0.004191192,0.029527542,0.0436
10/07/2015,0.025520204,-0.002596623,0.013997054,-0.021368391,0.003
10/08/2015,0,0.026854247,-0.005484903,0.00120072,0.0039
10/09/2015,0,0.010858531,0.033240521,0.031794996,-0.0054
10/12/2015,-0.021759765,-0.012027089,0.004008011,-0.006677605,0.0486
13/10/2015,-0.0030952,-0.00826565,0.001300845,-0.003693163,-0.0215
14/10/2015,-0.007571193,0,-0.003992011,0.039042899,0
15/10/2015,0,0.001901806,-0.049626297,0.044042294,-0.0086
16/10/2015,0.027470545,-0.001898196,0.06908164,-0.034877266,-0.0252
19/10/2015,0.00020002,-0.005186503,0.017145322,-0.018624382,-0.0067
20/10/2015,0.021222052,0.010353228,-0.003892405,0.032724029,-0.0077
21/10/2015,0.008132894,0.010858531,-0.015577397,-0.013803841,-0.0112
22/10/2015,0.037693021,0.011364086,0.010555318,-0.00119928,0.0374
26/10/2015,-0.020683109,-0.019409169,-0.019605267,0.049695372,0.0487
27/10/2015,-0.011038622,-0.007670431,0,-0.021661936,0.0489
28/10/2015,-0.032945089,-0.005186503,-0.034684222,0.004008011,0.0027
29/10/2015,0.027059639,0.003205125,-0.004191192,0.006823172,-0.0187
30/10/2015,0.015316108,-0.003892405,0.00692386,0.005113027,0.0052
11/02/2015,0.000900405,0.002603383,-0.027611633,0.011161834,0.0019
11/03/2015,-0.00727342,0.005816853,0.015620748,-0.00059982,-0.0044
11/04/2015,0.000500125,0.003205125,-0.036323865,0.016636877,0.0025
11/05/2015,-0.004888015,0.002603383,0.010151177,0.004912025,0.0008
11/06/2015,-0.012224664,-0.00826565,-0.017249494,0.021119935,-0.003
11/09/2015,-0.008463977,-0.008364819,-0.010247137,0.001100605,0.0096
11/10/2015,-0.006578268,0.008435379,0.022141565,-0.022835238,-0.0047
11/11/2015,0.019385505,-0.018624382,0,0.005414606,-0.003
11/12/2015,0,0.013084867,-0.010148156,0.01999732,0.0039
13/11/2015,0,-0.003892405,0.024802591,-0.011631821,-0.0003
16/11/2015,-0.017642516,-0.00905872,-0.008563126,-0.008067283,-0.0039
17/11/2015,0,0.007225982,0.010050167,0.009141531,-0.0036
18/11/2015,0.011768713,0.005816853,0.004309258,0.001100605,-0.0103
19/11/2015,0,-0.011038622,0.005615709,0.034170856,-0.0053
20/11/2015,0,0,-0.014099656,-0.006677605,0.0084
23/11/2015,0.008737955,-0.000699755,0,0.018774057,0.0094
24/11/2015,-0.020585172,-0.002596623,0.034274278,0.010252197,-0.0086
25/11/2015,-0.002696358,-0.008563126,-0.023421361,-0.002496878,-0.0933
26/11/2015,-0.01331062,-0.01518355,0.014098459,0.016230303,0.0512
27/11/2015,0,-0.001299155,-0.050101365,-0.005484903,-0.0211
30/11/2015,-0.037864514,-0.006776932,0.011768713,-0.015577397,-0.043
12/01/2015,-0.015380493,-0.011532979,-0.026054566,-0.046866213,0.0049
12/02/2015,0,0.008233712,0.026751567,0.019793341,0.0092
12/03/2015,0,0.005414606,-0.023226025,-0.029360358,0.0256
12/04/2015,0,0.002002001,0.025212594,0.000500125,-0.003
12/07/2015,0.025417657,0.008737955,-0.014493937,0.014605635,0.0157
12/08/2015,-0.002995504,0.011364086,-0.001498876,-0.002696358,-0.0142
12/09/2015,0.020813645,0.001300845,0,0.032001376,0.0039
12/10/2015,0.012983564,0.017145322,0.013186181,0.005213543,-0.0468
12/11/2015,-0.002995504,-0.029845556,0,-0.004589436,0.0059
14/12/2015,-0.024104726,-0.004688972,-0.026151956,-0.012915865,-0.0084
15/12/2015,0.015620748,0.004711062,-0.029845556,-0.009950166,0.0222
16/12/2015,0.005816853,0.00531407,0,0.003706853,-0.0034
17/12/2015,-0.012027089,-0.000699755,0.032207797,0.004711062,-0.0025
18/12/2015,-0.012520952,-0.016659667,-0.00448989,-0.008860512,-0.0052
21/12/2015,0,-0.021661936,0,-0.001099395,-0.0155
22/12/2015,-0.022150983,0.000700245,0,0,0.0103
23/12/2015,0.020507446,-0.010346107,-0.001498876,0,-0.009
28/12/2015,-0.00019998,0.005615709,-0.023909528,0.014808576,0.0127
29/12/2015,-0.018231753,0.011161834,-0.021466249,0,-0.0093
30/12/2015,-0.004091606,0.002703648,-0.007868877,0,-0.0003
31/12/2015,0.006420524,0.010959621,0,0.009949167,0.0068
01/01/2016,0,0.039354659,0.007931287,0,0
01/04/2016,-0.001498876,-0.014395381,0,-0.009851156,0.0166
01/05/2016,0.000900405,0.017857573,0,-0.004688972,-0.012
01/06/2016,0.025520204,0.003205125,0,-0.014691018,0.0183
01/07/2016,0.010555318,-0.007174142,0,0,0.0057
01/08/2016,-0.017642516,-0.006578268,0,-0.004788498,-0.0024
01/11/2016,-0.01331062,-0.009256889,-0.047056821,0,-0.0238
01/12/2016,-0.0272226,0.004008011,-0.039498754,0,-0.0022
13/01/2016,0.017654022,0.00924245,0.034274278,-0.004290768,0.0022
14/01/2016,-0.049721329,-0.034684222,-0.051335431,0.004309258,-0.0288
15/01/2016,-0.009256889,-0.002696358,-0.04715211,0,-0.0183
18/01/2016,-0.015282026,-0.025859758,0.001801621,0,-0.0303
